Output,Input,Call,mNemonic,Location,Service Area,Latitude,Longitude,S,ERP,HASL,T/O,Sp,Tone,Notes
146.6500,146.0500,VK2RDX,Bindo,Mt Bindo,W Blue Mtns,-33.677019,150.009289,O,50,1362,3.5,2LE,-,
146.6500,146.0500,VK2RMI,THiHi,Terry Hie Hie,Moree / Inverell,-29.805968,150.279974,O,10,660,4,2AJ,-,
146.6750,146.0750,VK2RCV,Graft,Grafton,Clarence Valley,-29.634646,153.15733,O,30,264,3.5,2YLO,123,
146.6750,146.0750,VK2REE,-,Mt Ganghat,Taree-Gloucester,-31.922071,152.18174,O,50,600,5.0,2FRE,123,22
146.6750,146.0750,VK2RLH,SBark,Stringybark Hill,Bathurst 6/17,-33.554857,149.359776,X,25,-,-,2NX,-,
146.6750,146.0750,VK2RUW,Nites1,Knights Hill,Wgong Sth - Shoalhaven,-34.618243,150.697311,O,50,920,5,2AMW,-,21
146.7000,146.1000,VK2RAO,Cbolas,Mt Canobolas,Orange,-33.341852,148.982967,O,50,1417,3,2AOA,91.5,
146.7000,146.1000,VK2RMU,NowraH,Nowra Hill,Milton - Ulladulla,-34.935597,150.566994,O,50,330,4,2HQ,123,
146.7000,146.1000,VK2RPM,MdlBro,Middle Brother,Port Macquarie,-31.701304,152.678285,O,50,552,3.5,2BOR,91.5,
146.7250,146.1250,VK1RBM,Issacs,Isaacs Ridge,Canberra Central,-35.364585,149.11875,O,25,790,3,1ACA,91.5,
146.7250,146.1250,VK2RAD,SHill,South Hill,Armidale,-30.544277,151.651755,O,10,1140,3,2IY,-,
146.7250,146.1250,VK2RAG,Someb,Somersby,Gosford,-33.360078,151.291215,O,50,320,3,2EH,91.5,
146.7250,146.1250,VK2RBL,Balran,Balranald,Balranald 6/15,-34.635162,143.566797,X,50,-,-,3RSG,-,
146.7250,146.1250,VK2RCD,BurroH,Burroway Hill,Dubbo area,-32.154911,148.556712,O,50,300,-,2UBQ,-,29
146.7250,146.1250,VK2RMS,-,Lightning Ridge,Lightning Ridge,-29.434695,147.972399,O,50,-,-,2SMS,-,
146.7500,146.1500,VK2RCB,FranLO,Francis Lookout,Bellingen,-30.396516,152.688203,O,50,850,3,2EP,123,24
146.7500,146.1500,VK2RFS,Mumbla,Mt Mumbulla,Batemans Bay/Vic Border,-36.544939,149.866163,O,50,766,3,2DIE,-,55
146.7500,146.1500,VK2RTM,-,Mt Crawney,Tamworth/Muswellbrook,-31.58758,150.99258,O,50,1361,-,2BTW,-,
146.7500,146.1500,VK2RWG,WOF,Wheel of Fortune,Wagga,-35.049858,147.55937,O,25,496,3,2WG,91.5,25
146.7750,146.1750,VK2RBE,Bethun,Mt Bethungra,Cootamundra - Young,-34.720724,147.877424,O,25,892,3,2WG,91.5,25
146.7750,146.1750,VK2RBK,NomTop,Noumea Tops,Bingara/Barraba 6/17,-30.056695,150.52417,X,25,720,-,2DK,-,
146.7750,146.1750,VK2RBR,Tabulm,Tabulam,Far North Coast 6/15,-28.754019,152.427095,X,10,600,3,2SRC,-,
146.7750,146.1750,VK2RTZ,SugarL,Sugarloaf Range,Newcastle,-32.950285,151.517688,O,83,442,3,2ATZ,91.5,
146.8000,146.2000,VK2RCC,NeedlMn,Needle Mtn,Coonabarabran,-31.346311,149.026186,O,80,1100,3.5,2UBQ,-,29
146.8000,146.2000,VK2RLE,HCote,Engadine,Sydney,-34.040329,151.036165,O,60,110,5,2LE,-,
